Frequency (Hz),Trace 1: Impedance: Magnitude (Ω),Trace 2: Impedance: Phase (°),Trace 3: Impedance: Ls (H),Trace 4: Impedance: Rs (Ω),Trace 5: Impedance: Q
100,0.596207657989198,0.0622191543260761,1.03043136089027E-06,0.596207306452674,0.00108592952765444
100.079561,0.596139673242308,0.0754378458682138,1.24821467993753E-06,0.596139156527081,0.00131663955182719
100.159186,0.595833466196043,0.0623648245599219,1.03055511855002E-06,0.595833113233192,0.00108847195586236
100.238873,0.595752939462401,0.0827835908211753,1.36669506814419E-06,0.595752317621365,0.0014448472318651
100.318624,0.595830797360116,0.0753896924967109,1.2438004984149E-06,0.59583028157172,0.00131579911549253
100.398439,0.595957099651997,0.0595289596996323,9.81552992992737E-07,0.595956777992569,0.00103897672089433
100.478317,0.595944162567487,0.039689913395107,6.53899241789626E-07,0.595944019582449,0.000692719779378984
100.558259,0.595816324593654,0.0680747312854954,1.12041260273786E-06,0.595815904052059,0.00118812875741578
100.638264,0.595936534117082,0.0633342885795113,1.04177320170562E-06,0.595936170032323,0.00110539231534379
100.718333,0.596020715995908,0.0685552280409708,1.12691406970698E-06,0.596020289350376,0.00119651501976618
100.798466,0.596008777672279,0.0715211026521629,1.1747090669241E-06,0.596008313321967,0.00124827937429337
100.878662,0.59577976737207,0.0689056316898884,1.13041666176726E-06,0.595779336528243,0.00120263072595115
100.958922,0.595812964773817,0.0797398368762551,1.30718768093669E-06,0.595812387761207,0.00139172359703342
101.039246,0.5958018541779,0.0730792363298036,1.19702476527517E-06,0.595801369543172,0.00127547398045888
101.119634,0.595800443560168,0.0633495357200067,1.0368267186251E-06,0.595800079383272,0.00110565842847219
101.200086,0.5958254956594,0.0937570096541529,1.53334278507295E-06,0.595824697938041,0.00163636997585968
101.280602,0.595999008840142,0.0901793638108565,1.47408915311323E-06,0.595998270622327,0.00157392811552233
101.361182,0.595886538211884,0.0742051425922042,1.21177863115259E-06,0.595886038457905,0.00129512478427019
101.441826,0.59619823142436,0.0840662186227996,1.37243720144564E-06,0.596197589685452,0.00146723335754167
101.522534,0.595952098186249,0.0677025201315239,1.10395440592701E-06,0.595951682136071,0.00118163243814586
101.603307,0.595916708975696,0.0667327046326085,1.08721102330221E-06,0.595916304783702,0.00116470594125617
101.684143,0.595976948978639,0.0727864361587658,1.18501560052747E-06,0.595976468078332,0.00127036364514348
101.765044,0.595821873034362,0.085927201791115,1.39748071504769E-06,0.595821202991725,0.00149971371263499
101.84601,0.595670904788668,0.0730282861542437,1.18645387368934E-06,0.595670420935837,0.00127458473069524
101.92704,0.595996616826914,0.0768235767898693,1.24780371604916E-06,0.595996081082668,0.00134082516165829
102.008134,0.595824674731808,0.0815500958648763,1.32313911951035E-06,0.595824071211202,0.00142331863929463
102.089293,0.595841851792758,0.084731138542817,1.37369776464877E-06,0.595841200251759,0.00147883842458923
102.170516,0.59584718215968,0.0647282490959256,1.04857758426243E-06,0.595846801928872,0.00112972154638477
102.251804,0.595783746174547,0.100678852690066,1.62949565033157E-06,0.595782826382195,0.00175717927510384
102.333157,0.595850721371148,0.0949170337325654,1.535191493086E-06,0.595849903753184,0.00165661627031741
102.414574,0.596050892479943,0.108466109821311,1.75352872213373E-06,0.596049824418885,0.00189309300469638
102.496056,0.596607008758419,0.118679213198418,1.91890309735979E-06,0.596605728899049,0.00207134598633324
102.577603,0.59634850037902,0.0503796567903154,8.13579941928994E-07,0.596348269844879,0.000879291113624432
102.659215,0.595750966536312,0.019112153101549,3.08087390338695E-07,0.595750933392022,0.00033357001113927
102.740892,0.595503251750982,0.0451619964897119,7.27128876686611E-07,0.595503066758057,0.00078822569876101
102.822634,0.595642573768819,0.107899611438791,1.73625748041502E-06,0.595641517559234,0.00188320570746496
102.904441,0.596033917894158,0.111425078793164,1.79273885766292E-06,0.596032790796684,0.00194473694589546
102.986313,0.596104587117444,0.078363930950993,1.25995934097915E-06,0.59610402957291,0.0013677094627251
103.06825,0.5957854489665,0.0446706075167378,7.17272704109588E-07,0.59578526789157,0.000779649338003898
103.150252,0.595842643603163,0.101235876858451,1.6244001115709E-06,0.595841713512882,0.00176690121103984
103.232319,0.595918427958779,0.0782237420614156,1.25431635300835E-06,0.59591787258079,0.00136526270045847
103.314452,0.597078127317675,0.0846820473195808,1.35943602930776E-06,0.597077475181157,0.00147798161923721
103.39665,0.597012197602414,0.0716974012336169,1.14994623729049E-06,0.597011730174423,0.00125135636981274
103.478914,0.597184312084499,0.0604948709177531,9.69778387288384E-07,0.597183979217916,0.00105583507042748
103.561243,0.596884784041195,0.0873308469026627,1.39816445269192E-06,0.596884090694409,0.00152421199736597
103.643637,0.597220894681657,0.120534104130566,1.92929870337349E-06,0.597219573144247,0.00210372008144646
103.726097,0.597673674201202,0.0911365627764514,1.45870023003121E-06,0.597672918110209,0.00159063443089509
103.808623,0.597365190230274,0.0517964120887143,8.27949024848989E-07,0.597364946132412,0.000904018177937014
103.891214,0.597009512214096,0.0800469745966236,1.27774652906848E-06,0.597008929580177,0.00139708417193382
103.973871,0.596845999363993,0.104840343752864,1.67172088047193E-06,0.596845000183888,0.00182981122960293
104.056594,0.597382222943759,0.0904791333715518,1.44287410450471E-06,0.597381478085207,0.00157916009435773
104.139383,0.597216013170115,0.061744672840494,9.83588296887596E-07,0.597215666389247,0.00107764825379994
104.222237,0.59698747239955,0.0605029298321571,9.62672689742482E-07,0.59698713955402,0.00105597572517478
104.305157,0.596934573515643,0.120067400605893,1.90872447351149E-06,0.59693326282098,0.00209557453240056
104.388144,0.5972069731951,0.0665967487868539,1.05833735007784E-06,0.59720656977678,0.00116233306089807
104.471196,0.596947808608939,0.0641528324221322,1.01824676707633E-06,0.596947434418465,0.00111967861815233
104.554314,0.597100050230122,0.0742718936905372,1.17822172293351E-06,0.597099548557061,0.00129628981267134
104.637499,0.596979028914785,0.0741563210168693,1.17521487070298E-06,0.596978528903155,0.00129427268560626
104.72075,0.597046582427961,0.100250909564898,1.58767304687533E-06,0.59704566850521,0.00174971023559435
104.804067,0.597335793697261,0.0730778261487977,1.15697348125956E-06,0.597335307833554,0.00127544936811724
104.88745,0.596542142684781,0.0830459033202532,1.3119979707842E-06,0.596541516067713,0.00144942545823087
104.9709,0.597101540708541,0.121898493181973,1.92608203214254E-06,0.597100189353575,0.00212753326925722
105.054416,0.59725380031972,0.0615098144274721,9.7137392553161E-07,0.597253456150162,0.00107354919647445
105.137998,0.597080406204572,0.0700983990639106,1.1058051466249E-06,0.597079959342285,0.0012234484744715
105.221647,0.597332506023262,0.0729348241830054,1.15012058359797E-06,0.597332022061878,0.00127295350892509
105.305363,0.597019428978833,0.0966478441983323,1.52204481403784E-06,0.597018579607803,0.00168682469609704
105.389145,0.596897418907048,0.0775803422836609,1.22054241916114E-06,0.596896871730145,0.0013540332351707
105.472993,0.596602755729142,0.057896455484667,9.09689928631463E-07,0.596602451140356,0.00101048411736931
105.556909,0.59725134312354,0.113739233461817,1.78763142971822E-06,0.597250166324445,0.00198512672021192
105.640891,0.597200376723051,0.0781115513488715,1.2265934620672E-06,0.597199821745684,0.00136330459948987
105.72494,0.596926308216199,0.0840288391039254,1.31785909973321E-06,0.59692566626486,0.00146658096046067
105.809056,0.597360167479786,0.0702911906329297,1.10233021169954E-06,0.59735971794558,0.00122681332717143
105.893239,0.597227394814397,0.0875430204883001,1.37148273664549E-06,0.597226697694578,0.00152791513364521
105.977489,0.597045142711061,0.0883147946426335,1.38205184446311E-06,0.597044433462032,0.00154138516544421
106.061806,0.597260745915918,0.106846096384438,1.67132481639638E-06,0.597259707417341,0.00186481833647187
106.14619,0.597216972730564,0.0414286350124547,6.47479193829901E-07,0.597216816610719,0.0007230662115866
106.230641,0.596785590974461,0.0883285201818301,1.3783731620986E-06,0.596784881813384,0.00154162472186405
106.315159,0.597248774043636,0.0804309107007462,1.25510603165245E-06,0.597248185571495,0.00140378513421008
106.399745,0.597122932683095,0.0725389816633444,1.13081614719871E-06,0.597122454128665,0.00126604474250325
106.484397,0.596990150649259,0.0672188872523165,1.04681493127307E-06,0.596989739807582,0.00117319144033101
106.569118,0.597188403580235,0.0835200580327369,1.30007416249944E-06,0.597187769100723,0.00145770103661259
106.653905,0.596811507376029,0.0482399322753783,7.4983302548042E-07,0.596811295844416,0.00084194584808852
106.73876,0.597132036481006,0.106752720728547,1.65891608860034E-06,0.597131000020184,0.00186318861817292
106.823683,0.596981373734593,0.063970061758055,9.93041532959384E-07,0.596981001652289,0.00111648866430033
106.908673,0.597108766198894,0.100174151864737,1.55415188790169E-06,0.597107853580066,0.00174837055690202
106.993731,0.597067326893627,0.0828642084792316,1.28448580174523E-06,0.59706670246624,0.00144625427837361
107.078856,0.597270265773782,0.0676204873403122,1.04771428839118E-06,0.597269849813201,0.00118020069384796
107.164049,0.596908164865578,0.125137762623503,1.93617204326496E-06,0.596906741197137,0.00218406944913572
107.24931,0.597158487585889,0.0506601783456167,7.8353654934968E-07,0.597158254160684,0.000884187142193747
107.334639,0.597056666903147,0.0962047781870867,1.48651600652642E-06,0.597055825249374,0.00167909171349465
107.420035,0.597170782089271,0.066104229390753,1.02079823602405E-06,0.597170384639972,0.00115373696427838
107.5055,0.597104194659356,0.0819031217292835,1.26362219413209E-06,0.597103584594935,0.00142948011550946
107.591032,0.597141599223158,0.122615430126222,1.89035577042349E-06,0.597140231833936,0.00214004623643573
107.676633,0.597063174216357,0.04080258344339,6.28469119092132E-07,0.59706302281829,0.000712139544792308
107.762302,0.597083483647758,0.111143612854449,1.71060577817161E-06,0.597082360262601,0.00193982442000045
107.848039,0.597050382796361,0.0651440331238191,1.00177635470096E-06,0.597049996887315,0.00113697835596998
107.933844,0.597005728420567,0.0664312879948037,1.02068311074225E-06,0.597005327139625,0.001159445221402
108.019717,0.597360666561918,0.0817092811739231,1.25516936160181E-06,0.597360059120964,0.00142609695269769
108.105659,0.596376804765809,0.0667936052857093,1.02353948712494E-06,0.596376399523104,0.0011657688596126
108.191669,0.59730743232496,0.0984748939110985,1.51017370929529E-06,0.597306550111672,0.00171871282164198
108.277747,0.597146960611976,0.0988000585048557,1.51354905531055E-06,0.597146072801508,0.00172438803123374
108.363894,0.596923584178611,0.083519830890593,1.27797125933175E-06,0.596922949983903,0.00145769707222588
108.45011,0.596832188646842,0.0436702428764515,6.6758305606396E-07,0.596832015287133,0.000762189670933361
108.536394,0.597377233318728,0.126361378962551,1.93190062258241E-06,0.597375780531731,0.00220542568590484
108.622747,0.596931047001409,0.0911999315577477,1.39217943515134E-06,0.596930290799377,0.00159174042757193
108.709168,0.59729464724508,0.0841386719509946,1.28414908544713E-06,0.597294003217317,0.00146849790939734
108.795658,0.597045398971182,0.0975478738655075,1.48699973176378E-06,0.597044533669383,0.00170253322226897
108.882217,0.596820959275324,0.134905360968208,2.05406138162935E-06,0.596819304926748,0.0023545470785904
108.968845,0.596867011842727,0.0577013954446251,8.77928142790128E-07,0.596866709168869,0.00100707967396701
109.055542,0.597296740540075,0.0803118746157214,1.22185458962941E-06,0.597296153761376,0.00140170755850968
109.142308,0.597007477595277,0.109936141968227,1.67041492645833E-06,0.597006378626481,0.00191874999897127
109.229143,0.596866606948177,0.119933133251529,1.8204347520912E-06,0.596865299332188,0.00209323111470957
109.316047,0.597272541940025,0.0410128028716735,6.22451537019617E-07,0.597272388924262,0.000715808567837837
109.40302,0.597351714040052,0.0877840332780383,1.33141566914134E-06,0.597351012930586,0.00153212161021272
109.490062,0.597043895536191,0.105910607510676,1.60423605072562E-06,0.597042875513585,0.00184849091922547
109.577174,0.596970175902532,0.098099201073073,1.48455159679439E-06,0.596969300902218,0.00171215572534664
109.664354,0.596801412327046,0.0417502980771742,6.3113374136836E-07,0.596801253883803,0.000728680294106039
109.751605,0.597174848253189,0.0728940253494401,1.10174209559573E-06,0.597174364960689,0.0012722414337952
109.838924,0.597028660374657,0.078052995776937,1.17848986387616E-06,0.597028106388382,0.00136228261006618
109.926313,0.597192096618396,0.0867362031770234,1.30891103903485E-06,0.597191412329453,0.0015138334825295
110.013772,0.596722952966122,0.081766524182329,1.23196558624789E-06,0.596722345323145,0.00142709603370142
110.1013,0.597079997691985,0.064064358015144,9.6505921681325E-07,0.597079624450273,0.00111813444651341
110.188898,0.597085548513145,0.0922591562018092,1.38869064551273E-06,0.597084774443277,0.00161022743251443
110.276565,0.597056056151336,0.0778107483881703,1.17022355662795E-06,0.597055505573195,0.00135805458770576
110.364303,0.597096123767636,0.109404992821748,1.64418243494619E-06,0.597095035230767,0.00190947966358114
110.45211,0.596650271254738,0.101355212034556,1.52085981510981E-06,0.596649337706762,0.00176898400928635
110.539987,0.597000604620365,0.07944933154438,1.19190864409624E-06,0.597000030662599,0.00138665331271275
110.627933,0.596757684300106,0.084434860454623,1.2651801050388E-06,0.596757036313154,0.00147366738517938
110.71595,0.597404068124965,0.0828514307589579,1.24181055053415E-06,0.597403443538075,0.00144603126461754
110.804037,0.597303178166904,0.103329647462628,1.54725342754748E-06,0.597302206831222,0.00180344451832565
110.892194,0.597137812781734,0.0851907134952332,1.27427508513816E-06,0.597137152721235,0.00148685953830575
