Frequency (Hz),Trace 1: Impedance: Magnitude (Ω),Trace 2: Impedance: Phase (°),Trace 3: Impedance: Ls (H),Trace 4: Impedance: Rs (Ω),Trace 5: Impedance: Q
100,0.349833660389769,0.00899806203217826,8.74395823386609E-08,0.349833656075728,0.000157045810051296
100.079561,0.349808522949507,0.0300902416479102,2.92151519723811E-07,0.3498084747096,0.000525173837759055
100.159186,0.349667025829432,0.0396787072283887,3.84785653895369E-07,0.3496669419811,0.000692524194779395
100.238873,0.349870930948234,0.0166790259897126,1.61711112145981E-07,0.349870916123942,0.000291103927769052
100.318624,0.349782391861609,0.0699748109577752,6.77728113972766E-07,0.349782131002446,0.00122129145188014
100.398439,0.349567556564971,0.0645215436564259,6.24031216116613E-07,0.349567334916209,0.00112611385129402
100.478317,0.349810160877707,0.0576698452109041,5.57707236608292E-07,0.349809983681388,0.00100652901795063
100.558259,0.349502981945771,0.0654686339019639,6.32068028718949E-07,0.349502753784391,0.00114264371566341
100.638264,0.349530245470516,0.0633331449179235,6.11012493375056E-07,0.349530031934289,0.00110537235465917
100.718333,0.349534539611087,0.104020804149691,1.00276469679665E-06,0.349533963567785,0.00181550751765881
100.798466,0.349522002866285,0.0876380072318335,8.4413211073198E-07,0.349521593997305,0.00152957296894006
100.878662,0.349577608593042,0.0912539725561476,8.78402147847357E-07,0.349577165217417,0.0015926836233162
100.958922,0.349717422978873,0.112442100035983,1.08192892930202E-06,0.349716749537543,0.0019624873828919
101.039246,0.349588194221246,0.146020930111193,1.40339136737169E-06,0.349587058919036,0.00254855152495499
101.119634,0.349746203111977,0.175611778190055,1.68720548701407E-06,0.349744560311997,0.00306501333253611
101.200086,0.349712675250711,0.129471331487523,1.24279997508895E-06,0.349711782391143,0.00225970486760461
101.280602,0.349973006065294,0.111624068896409,1.07142887782617E-06,0.349972341902033,0.00194820999153446
101.361182,0.350241275756535,0.0906615442239113,8.70194010768712E-07,0.350240837288237,0.00158234377227806
101.441826,0.350314544619062,0.0598521240776068,5.74140388420913E-07,0.350314353483277,0.00104461700943679
101.522534,0.350225361421738,0.0432098715861854,4.14062191759334E-07,0.350225261826571,0.000754154671517805
101.603307,0.34996501396796,-0.0180848394605518,-1.73032999510093E-07,0.349964996534697,0.000315640003763483
101.684143,0.349682365903008,0.0183586020190514,1.75370927217581E-07,0.349682347952461,0.000320418062261258
101.765044,0.349340357782569,0.0556463536908626,5.30620810652109E-07,0.349340193024425,0.00097121239400118
101.84601,0.348941041919229,0.122306785691914,1.1640074401713E-06,0.348940246899816,0.00213465935023041
101.92704,0.349053599716604,0.12172870933814,1.15795824309299E-06,0.349052811940629,0.00212456996877129
102.008134,0.349167079305352,0.0751658144970831,7.14687570983266E-07,0.349166778837022,0.00131189170053131
102.089293,0.34896550246861,0.0756134927352664,7.17957890129717E-07,0.348965198586053,0.00131970517330482
102.170516,0.348962732080879,0.0867748970287736,8.23274951210816E-07,0.348962331867208,0.00151450881919117
102.251804,0.348994591973375,0.0998149331804294,9.46325446249477E-07,0.34899406238997,0.00174210098903006
102.333157,0.348828855888035,0.124735332251968,1.18108913798678E-06,0.348828029248927,0.00217704568074571
102.414574,0.349134761201704,0.0838023258967268,7.93569092795793E-07,0.349134387753911,0.00146262755071549
102.496056,0.349086200565668,0.106378872365784,1.00641745232834E-06,0.349085598882224,0.00185666371076779
102.577603,0.349460290359687,0.0923143210139238,8.73598094539306E-07,0.349459836772646,0.00161119024261496
102.659215,0.349072893961476,0.0837078126519635,7.90644994562625E-07,0.349072521421591,0.00146097797988272
102.740892,0.348988920807217,0.0759210286856332,7.16354121470975E-07,0.348988614427166,0.00132507269759322
102.822634,0.348876863874785,0.108240373890825,1.02016394253352E-06,0.348876241323194,0.00188915315537914
102.904441,0.348977357586973,0.141305464334369,1.33112594254801E-06,0.348976296283263,0.00246625060391025
102.986313,0.348924804355918,0.0816196780907109,7.68147397123807E-07,0.348924450320864,0.00142453308069866
103.06825,0.349141478156667,0.099775514903269,9.38853439091659E-07,0.349140948768742,0.00174141300822101
103.150252,0.348959143384837,0.0716982994426057,6.73768231311367E-07,0.348958870162013,0.00125137204654151
103.232319,0.348901402328467,0.0872502664288326,8.19126780149989E-07,0.348900997789003,0.00152280559952046
103.314452,0.348714636249849,0.115763756536513,1.08537275183598E-06,0.34871392447934,0.00202046145538521
103.39665,0.348721161431552,0.128048109086549,1.19961570184756E-06,0.348720290569833,0.00223486482526943
103.478914,0.34918738643356,0.0609207364278323,5.71043572020441E-07,0.349187189048838,0.00106326783409345
103.561243,0.349113724220996,0.0664042207350368,6.21817233277135E-07,0.349113489753318,0.00115897280796476
103.643637,0.348826368203296,0.0859246072271944,8.03307004417757E-07,0.348825975947766,0.00149966842885007
103.726097,0.348764806034704,0.115886851969361,1.08237059644496E-06,0.348764092647071,0.00202260988476233
103.808623,0.349279025678553,0.0980935334591174,9.16804512853362E-07,0.349278513787078,0.00171205680653242
103.891214,0.349190186247682,0.0626342657710588,5.84780136085064E-07,0.349189977601372,0.00109317459773292
103.973871,0.348941789288013,0.078647427161545,7.33180073529637E-07,0.348941460552445,0.00137265741430545
104.056594,0.348820482841449,0.124345638536812,1.15787076259497E-06,0.348819661379102,0.0021702442102069
104.139383,0.349114801299698,0.102945620309465,9.58646303487122E-07,0.349114237780606,0.0017967419583674
104.222237,0.349122256866854,0.0910425354840461,8.47147056946324E-07,0.349121816118324,0.00158899334090802
104.305157,0.34925674517806,0.0435572701893122,4.05132545359938E-07,0.349256644254903,0.000760217924435463
104.388144,0.348897777759002,0.0866221177585981,8.04216831733678E-07,0.348897379027586,0.00151184231179232
104.471196,0.349172144058458,0.139628005598177,1.29632121088021E-06,0.349171107224569,0.0024369732499277
104.554314,0.349016042211878,0.0607078979027697,5.62919178929864E-07,0.34901584630013,0.00105955309687103
104.637499,0.349068542239563,0.0868943178335984,8.05215400188515E-07,0.349068140801892,0.00151659311021813
104.72075,0.348878827579191,0.10912969315758,1.00990853141473E-06,0.348878194752059,0.00190467476053666
104.804067,0.349054023697562,0.104834898958944,9.69879210877143E-07,0.349053439406788,0.00182971619970377
104.88745,0.348997461237653,0.0638504414281068,5.90146796638099E-07,0.34899724452974,0.00111440089309278
104.9709,0.348965682981275,0.0698952767892352,6.45444672769071E-07,0.348965423322464,0.00121990331670316
105.054416,0.348761435967933,0.109595179481325,1.01065477192012E-06,0.34876079794547,0.00191279905910801
105.137998,0.349017625289876,0.0997520557683655,9.19828349839133E-07,0.349017096338564,0.00174100356783594
105.221647,0.348851145085138,0.0742130030681073,6.83458959665086E-07,0.348850852451098,0.00129526197568562
105.305363,0.348841687494146,0.108010817437584,9.93899298411105E-07,0.348841067642876,0.00188514662518233
105.389145,0.349149886401679,0.111270813710196,1.02398716748457E-06,0.34914922798771,0.00194204450210811
105.472993,0.348886533072559,0.0572454064502176,5.25994261654382E-07,0.348886358935904,0.00099912115665376
105.556909,0.348950240969078,0.0990638134234374,9.09681081823294E-07,0.348949719392335,0.00172899143670615
105.640891,0.34900518055874,0.0961354883178714,8.82228026317248E-07,0.349004689284509,0.00167788237373148
105.72494,0.348924088461243,0.0994057363881973,9.11301811313672E-07,0.34892356331716,0.00173495913613089
105.809056,0.348783755818851,0.100626322875636,9.21387442604303E-07,0.348783217915706,0.00175626245405721
105.893239,0.349082586189829,0.107606575688505,9.85362448396564E-07,0.349081970544741,0.00187809125070745
105.977489,0.349067763439331,0.0924117913148733,8.45514028708456E-07,0.349067309404505,0.00161289142471025
106.061806,0.348973887934866,0.0982825800534596,8.98271765383174E-07,0.348973374517372,0.00171535630173328
106.14619,0.34893254522206,0.115713747292386,1.05662098115729E-06,0.348931833621983,0.00201958862585719
106.230641,0.349084650933734,0.0855286587293449,7.80710375083161E-07,0.349084261997204,0.00149275780842379
106.315159,0.348770523855026,0.115323232219096,1.05089322617909E-06,0.348769817378105,0.00201277282434357
106.399745,0.34921964734649,0.136505516139407,1.24453000619756E-06,0.3492186562325,0.00238247521154406
106.484397,0.34875111601483,0.0769644549044213,7.00192084094519E-07,0.348750801369945,0.00134328395302977
106.569118,0.348815266455952,0.103341408793454,9.39584306523757E-07,0.348814699082696,0.0018036497929407
106.653905,0.349197100250857,0.0958099777549118,8.71368595222786E-07,0.349196612029532,0.00167220112671761
106.73876,0.348618782765566,0.0794735550947327,7.21022188370614E-07,0.348618447398251,0.0013870760942361
106.823683,0.349022139957413,0.136381103364061,1.23776078331991E-06,0.349021151208746,0.00238030378666861
106.908673,0.349113995618363,0.0589114428832197,5.34381485815729E-07,0.349113811078038,0.00102819900774753
106.993731,0.349019377725936,0.101380396532307,9.18633895573668E-07,0.349018831361859,0.00176942356306839
107.078856,0.349079335177387,0.0764209415525264,6.92038366176911E-07,0.349079024668823,0.00133379783851442
107.164049,0.348921326660364,0.0934446505831656,8.45142908902456E-07,0.348920862614349,0.00163091826707302
107.24931,0.349107463674499,0.126072816970744,1.13994325347391E-06,0.349106618538479,0.00220038930461124
107.334639,0.348929260191783,0.0782668298684844,7.06761033756653E-07,0.348928934641896,0.00136601472596179
107.420035,0.349019958749342,0.156928903727215,1.41633135718284E-06,0.349018649625861,0.00273893291048744
107.5055,0.349089121504322,0.0954363664897068,8.60828875725648E-07,0.349088637233005,0.00166568036185456
107.591032,0.348858991084936,0.0953632222975286,8.58918710218638E-07,0.3488585078744,0.00166440375133312
107.676633,0.349080014897721,0.0946047185529166,8.51949041920895E-07,0.349079539042079,0.00165116532721835
107.762302,0.349109472305102,0.0820124817232912,7.38026706012679E-07,0.349109114665003,0.00143138881138031
107.848039,0.349037392045685,0.109775827277908,9.86878424699557E-07,0.349036751411663,0.00191595196949971
107.933844,0.348773200786363,0.107557568351181,9.65436428454268E-07,0.348772586247051,0.00187723590829791
108.019717,0.349109885308865,0.0929717089196614,8.34655450355566E-07,0.349109425699977,0.00162266385603015
108.105659,0.349104623565306,0.0962739594727218,8.63601325986898E-07,0.349104130734434,0.00168029915811639
108.191669,0.348937662007479,0.111858772309882,1.00212361930238E-06,0.348936997021413,0.00195230635444572
108.277747,0.34916529120533,0.0774550891568156,6.93807804281022E-07,0.349164972157602,0.00135184715170733
108.363894,0.348863406987527,0.0979474158811061,8.75913228448129E-07,0.348862897227219,0.00170950656623713
108.45011,0.349025104277596,0.0727868569138896,6.50694322109373E-07,0.349024822642172,0.00127037098871759
108.536394,0.348762258147933,0.0628655367455335,5.61130832296455E-07,0.348762048215552,0.0010972110425433
108.622747,0.348908941345631,0.0596861911057047,5.32552715202858E-07,0.348908752030847,0.00104172092958796
108.709168,0.348982522158734,0.0729351753287594,6.50387099472765E-07,0.348982239408859,0.00127295963758459
108.795658,0.349136562587701,0.0881455381747956,7.85744645616077E-07,0.349136149425433,0.00153843107579508
108.882217,0.348740272083876,0.0986520554077009,8.77704994580753E-07,0.348739755145218,0.00172180488221573
108.968845,0.348972841731185,0.0932308805476626,8.29366283660258E-07,0.348972379737706,0.00162718726621003
109.055542,0.348917976221111,0.0671499176148777,5.96785810143336E-07,0.348917736592317,0.00117198769141869
109.142308,0.349039255915994,0.0937569312545494,8.32878843054354E-07,0.349038788605337,0.0016363686075248
109.229143,0.348598548047669,0.121329120284624,1.07559622916216E-06,0.348597766455412,0.00211759579275587
109.316047,0.348871317722345,0.0911126044624613,8.07713095687309E-07,0.348870876612413,0.00159021627837504
109.40302,0.349090990780117,0.112309253125787,9.95456050197907E-07,0.349090320132602,0.00196016875798862
109.490062,0.349021736499906,0.138956801585904,1.23042360999432E-06,0.349020710052692,0.00242525846072299
109.577174,0.348882378124798,0.138009178330932,1.22057364337221E-06,0.348881366033936,0.00240871921823594
109.664354,0.34899335094235,0.0797225567902084,7.04742147982439E-07,0.348993013107647,0.00139142200205285
109.751605,0.348735441783027,0.0971037520854313,8.57074372407353E-07,0.348734940950249,0.00169478181256064
109.838924,0.349035368556179,0.0584984829688676,5.16363094654159E-07,0.349035186634965,0.00102099148999689
109.926313,0.348988323763568,0.111479982004763,9.8311279933053E-07,0.348987663177699,0.00194569519133365
110.013772,0.34909085378407,0.0726296133332031,6.40180630654894E-07,0.349090573311357,0.00126762656608749
110.1013,0.349069175177859,0.098951791120579,8.71445027296967E-07,0.349068654602687,0.00172703627284743
110.188898,0.348827044460104,0.098228219389644,8.63785414793081E-07,0.348826531826202,0.00171440752637596
110.276565,0.349047655913099,0.0964555562161411,8.48058946017872E-07,0.349047161301995,0.00168346862816552
110.364303,0.34866614966565,0.0771649265926701,6.77171195242993E-07,0.348665833456557,0.00134678285037664
110.45211,0.348799974121437,0.118375854340321,1.03839537223902E-06,0.348799229685582,0.00206605135278599
110.539987,0.348998492218511,0.13789827414282,1.20937239794176E-06,0.348997481417327,0.0024067835637777
110.627933,0.348868480883279,0.0800775300535893,7.01463314669472E-07,0.348868140155344,0.00139761746630362
110.71595,0.349045297896656,0.0977033321477694,8.55614754776605E-07,0.349044790409358,0.00170524648902118
