Frequency (Hz),Trace 1: Impedance: Magnitude (Ω),Trace 2: Impedance: Phase (°),Trace 3: Impedance: Ls (H),Trace 4: Impedance: Rs (Ω),Trace 5: Impedance: Q
100,0.302423787687369,-0.0372527052759008,-3.1294731770479E-07,0.302423723764493,0.000650182453958284
100.079561,0.302427351967534,-0.0323618803032632,-2.71648241842862E-07,0.302427303726868,0.000564821423491952
100.159186,0.302485160016351,-0.03117787482519,-2.61551535185565E-07,0.30248511523246,0.000544156623183632
100.238873,0.302349806732426,-0.0471596648710157,-3.95131524953501E-07,0.302349704314534,0.000823091612012236
100.318624,0.302371742925263,-0.0302129670940053,-2.52959208357058E-07,0.302371700886233,0.000527315801462575
100.398439,0.302446507782689,-0.02214597441564,-1.85316417582227E-07,0.302446485190262,0.000386520188863773
100.478317,0.302393505264679,-0.0271275487296428,-2.26781770989545E-07,0.302393471371032,0.000473465078706226
100.558259,0.302317100098258,-0.0295754438473361,-2.46986785733774E-07,0.302317059821919,0.000516188918721057
100.638264,0.302356369586431,-0.0201407891150681,-1.68085386820612E-07,0.302356350905573,0.000351523098486832
100.718333,0.302395941668706,-0.0412709414232063,-3.44198732364237E-07,0.302395863219342,0.000720313937811441
100.798466,0.302374771641134,-0.0216920270419264,-1.80754557606915E-07,0.302374749970553,0.000378597311402124
100.878662,0.302252864705461,-0.0195677802456009,-1.6285840068014E-07,0.302252847078466,0.000341522205870529
100.958922,0.302307296958532,-0.0179576252537844,-1.49365508538955E-07,0.302307282110422,0.000313419696780424
101.039246,0.302322020871553,0.00149955475771936,1.2463485522731E-08,0.302322020768011,2.61721678421246E-05
101.119634,0.302324015849666,0.0128262082637433,1.06520437575951E-07,0.302324008274469,0.000223859568488258
101.200086,0.302341798591657,0.00602447304608486,4.99958406097041E-08,0.302341796920331,0.00010514689073933
101.280602,0.302422270021139,-0.00463298008110167,-3.84277915868999E-08,0.302422269032451,8.08607567707731E-05
101.361182,0.30248533977519,-0.00841756623645172,-6.97777087757394E-08,0.302485336510799,0.000146914246887779
101.441826,0.302490588273347,-0.0216444982632277,-1.79283292891663E-07,0.302490566689361,0.000377767777605739
101.522534,0.30240363382996,-0.0188227882741085,-1.55742092317597E-07,0.302403617511482,0.000328519641607485
101.603307,0.302260916181319,-0.0144696006043134,-1.19571640871558E-07,0.302260906542589,0.00025254217736267
101.684143,0.30233772121786,-0.0248364244105842,-2.05128337800579E-07,0.302337692812833,0.000433477407537903
101.765044,0.302332781744041,-0.0405306506991236,-3.34478074530545E-07,0.302332706099583,0.000707393420669921
101.84601,0.302257082166581,-0.0181684464878865,-1.49777905195016E-07,0.302257066970318,0.000317099221814331
101.92704,0.302298230532431,-0.00508603103156539,-4.19008368702878E-08,0.302298229341413,8.87679875925763E-05
102.008134,0.302334686023668,0.00234863640244119,1.93359920667634E-08,0.302334685769662,4.09914381777527E-05
102.089293,0.3024022195675,-0.00514182042410529,-4.23076771837992E-08,0.302402218349791,8.97416961878422E-05
102.170516,0.302407096724536,-0.0145063052198938,-1.19267110475535E-07,0.302407087032158,0.000253182793796188
102.251804,0.30246245679836,0.00674093387322987,5.53883032960892E-08,0.302462454705036,0.000117651491289914
102.333157,0.302339312754554,-0.0330248146649617,-2.71029218830636E-07,0.302339262531846,0.000576391814595552
102.414574,0.302289213251948,-0.0143157259197763,-1.17373960001083E-07,0.302289203816248,0.000249856557312563
102.496056,0.302273346657852,-0.00406866877678484,-3.33305542173861E-08,0.302273345895722,7.10116664473482E-05
102.577603,0.302301248783958,-0.00716876432124731,-5.86852819912971E-08,0.302301246417748,0.000125118541358158
102.659215,0.302336315566296,0.0107233782077347,8.77246203703927E-08,0.302336310271146,0.000187158258846851
102.740892,0.302597708457412,-0.0011551354139992,-9.4504546125197E-09,0.302597708395915,2.01609162834055E-05
102.822634,0.302445061911672,-0.022534972145947,-1.84124799423994E-07,0.302445038518707,0.000393309481072641
102.904441,0.302265107049744,-0.0396398645769779,-3.23432401014093E-07,0.302265034709985,0.000691846262297262
