Frequency (Hz),Trace 1: Impedance: Magnitude (Ω),Trace 2: Impedance: Phase (°),Trace 3: Impedance: Ls (H),Trace 4: Impedance: Rs (Ω),Trace 5: Impedance: Q
100,0.386910926689932,0.212277504118276,2.28145272039229E-06,0.386908271209027,0.00370495832694395
106.662142,0.386510499057521,0.244491377272251,2.46099495120164E-06,0.386506980112593,0.00426720542642794
113.768125,0.386060163605951,0.202353331984885,1.90739810203808E-06,0.386057755919114,0.00353174657950788
121.347519,0.38575637534169,0.21311700987407,1.88190121597585E-06,0.385753706802535,0.00371961066839422
129.431862,0.385587208901093,0.251696637779029,2.08283533224127E-06,0.385583488399558,0.00439296330377038
138.054796,0.385599656700443,0.251027488515791,1.94761239992052E-06,0.385595955835423,0.00438128422115818
147.252203,0.360551239650784,0.326003214091358,2.21728862988309E-06,0.360545403394902,0.00568989085992165
157.062353,0.360827154512505,0.301771263716941,1.92575257346841E-06,0.360822149804867,0.00526695084204679
167.52607,0.36070812556341,0.356074212376367,2.12965253286064E-06,0.360701159934852,0.0062147473964651
178.686894,0.360857057316138,0.391011684022661,2.19344306805448E-06,0.360848654251056,0.00682454724683626
190.591268,0.360871591008826,0.422348566617429,2.22133615668903E-06,0.360861786687948,0.00737150659456763
203.288729,0.361086808871284,0.416029166825205,2.05265416433251E-06,0.361077290075431,0.00726120635737838
216.832112,0.361067250281117,0.444609962010127,2.0565384259489E-06,0.361056379292587,0.00776006348529747
231.277774,0.361147772882058,0.485477792943878,2.10577862863332E-06,0.361134808679142,0.00847338871513144
246.685828,0.361539407171509,0.516380619378512,2.10219498350743E-06,0.361524724086621,0.00901278602688966
263.120387,0.362857854981693,0.550996465372681,2.11067636872656E-06,0.362841076388393,0.00961699895255212
280.64984,0.364176377766091,0.572715322359567,2.06431535220813E-06,0.364158184507181,0.00999610097541841
299.34713,0.365251535059427,0.62214623170453,2.10862033744324E-06,0.365230002409881,0.0108589269567353
319.290061,0.365866006158975,0.659195330846731,2.09816046928507E-06,0.365841791951813,0.011505636600866
340.561617,0.373958673606308,0.683724311594108,2.08543244463196E-06,0.373932047648358,0.011933806885518
363.250315,0.382455586851393,0.723532311140153,2.11601575421411E-06,0.382425092750112,0.0126286923673057
387.450565,0.386049019008842,0.720622809125252,1.99443647522493E-06,0.386018485446499,0.0125779039114256
413.263071,0.387111746673205,0.803935875857212,2.09177230903609E-06,0.387073640373102,0.0140322489018411
440.795243,0.387185529589532,0.848321706505184,2.06978116322913E-06,0.387143091377039,0.0148070889031484
